,x,FES
0,0.35367793999999997,3.927386807148162
1,0.40345982,1.6688124646203844
2,0.45324169999999997,1.4471386955531065
3,0.50302358,1.6080987098277735
4,0.55280546,2.101273512009843
5,0.6025873399999999,2.194098906474211
6,0.65236922,2.045213439784636
7,0.7021510999999999,2.0292912804108223
8,0.75193298,1.9982689218722838
9,0.8017148599999999,1.8723625395038086
10,0.85149674,1.6295536448290329
11,0.9012786199999999,1.3693686180595668
12,0.9510605,1.1064860845988733
13,1.00084238,0.8885106411167438
14,1.0506242599999998,0.7896157893828794
15,1.10040614,0.7096940577441381
16,1.1501880199999999,0.6003946466372792
17,1.1999698999999997,0.43638712738319374
18,1.24975178,0.2564305428950294
19,1.2995336599999998,0.15896243108280303
20,1.3493155399999999,0.094547053585195
21,1.39909742,0.04133106905939399
22,1.4488792999999998,0.020160563884580804
23,1.4986611799999998,0.012334373880240584
24,1.5484430599999999,0.0030693599898516943
25,1.5982249399999997,0.0
26,1.6480068199999998,0.008261364936734794
27,1.6977886999999998,0.01533033881086035
28,1.7475705799999997,0.013001841532845629
29,1.79735246,0.07509367614532247
30,1.8471343399999998,0.17043701142752296
31,1.8969162199999996,0.2778083817384269
32,1.9466980999999999,0.3895929265881871
33,1.9964799799999997,0.49662520845830704
34,2.0462618599999995,0.584680704493548
35,2.09604374,0.6972196989289987
36,2.14582562,0.8104689767919445
37,2.1956074999999995,0.9599082759174556
38,2.2453893799999998,1.14002349648208
39,2.29517126,1.3500302897395902
40,2.34495314,1.604157386573776
41,2.3947350199999997,1.8979038476108525
42,2.4445169,2.291421556376105
43,2.49429878,2.8578222039202887
44,2.5440806599999997,3.5389840797817147
45,2.59386254,4.335644433128006
46,2.64364442,5.298734861802341
47,2.6934262999999996,6.319165852929093
48,2.74320818,7.681362662469932
49,2.79299006,9.627272811525238
