,t,survival
0,0.014587,1.0
1,0.016782,0.999
2,0.044927999999999996,0.998
3,0.045347,0.997
4,0.08821999999999999,0.996
5,0.136013,0.995
6,0.241429,0.994
7,0.314801,0.993
8,0.32934500000000005,0.992
9,0.355684,0.991
10,0.396836,0.99
11,0.447851,0.989
12,0.468777,0.988
13,0.500219,0.987
14,0.572947,0.986
15,0.6247630000000001,0.985
16,0.699898,0.984
17,0.715613,0.983
18,0.743344,0.982
19,0.74519,0.981
20,0.763732,0.98
21,0.765899,0.979
22,0.785336,0.978
23,0.81265,0.977
24,0.85505,0.976
25,0.873275,0.975
26,0.9749950000000001,0.974
27,0.9932369999999999,0.973
28,1.019974,0.972
29,1.0649359999999999,0.971
30,1.0868769999999999,0.97
31,1.0886179999999999,0.969
32,1.207487,0.968
33,1.333338,0.967
34,1.3415460000000001,0.966
35,1.351988,0.965
36,1.391,0.964
37,1.428567,0.963
38,1.6895060000000002,0.962
39,1.7219790000000001,0.961
40,1.7620630000000002,0.96
41,1.811361,0.959
42,1.870244,0.958
43,1.925975,0.957
44,2.107081,0.956
45,2.114367,0.955
46,2.116093,0.954
47,2.249677,0.953
48,2.2572959999999997,0.952
49,2.327096,0.951
50,2.3462310000000004,0.95
51,2.462285,0.949
52,2.483932,0.948
53,2.6346309999999997,0.947
54,2.8176439999999996,0.946
55,2.832569,0.945
56,2.992585,0.944
57,3.0199659999999997,0.943
58,3.096755,0.942
59,3.202963,0.941
60,3.228344,0.94
61,3.3683870000000002,0.939
62,3.388177,0.938
63,3.650225,0.937
64,3.671288,0.936
65,3.679333,0.935
66,3.877872,0.934
67,4.108185000000001,0.933
68,4.141785,0.932
69,4.209318000000001,0.931
70,4.227661,0.93
71,4.654138,0.929
72,4.891826,0.928
73,5.009475999999999,0.927
74,5.114154999999999,0.926
75,5.1535079999999995,0.925
76,5.7977669999999994,0.924
77,5.8330150000000005,0.923
78,5.886026,0.922
79,5.934874,0.921
80,5.9456679999999995,0.92
81,6.182919,0.919
82,6.600514,0.918
83,6.712446,0.917
84,6.793622999999999,0.916
85,6.8123819999999995,0.915
86,6.8565640000000005,0.914
87,6.894551000000001,0.913
88,6.953105,0.912
89,7.103875,0.911
90,7.105286,0.91
91,7.142309,0.909
92,7.342938,0.908
93,7.688894,0.907
94,7.738019,0.906
95,7.775823999999999,0.905
96,8.100068,0.904
97,8.506630999999999,0.903
98,8.999644,0.902
99,9.120725,0.901
100,9.126033,0.9
101,9.296558999999998,0.899
102,9.327072,0.898
103,9.369517,0.897
104,9.481626,0.896
105,9.521829,0.895
106,9.600268,0.894
107,9.667686,0.893
108,9.668079,0.892
109,9.898466,0.891
110,9.901965,0.89
111,9.98717,0.889
